Symbol	Human count	SP count	Note
a	86	66	shared
aː	10	7	shared
b	13	1	shared
bʷ	4	0	human only
d	14	17	shared
e	0	84	SP only
eː	4	6	shared
g	6	0	human only
h	25	0	human only
i	73	63	shared
iː	7	2	shared
j	16	25	shared
k	36	28	shared
kː	0	1	SP only
l	67	45	shared
m	122	61	shared
mʷ	30	0	human only
n	105	65	shared
o	8	82	shared
p	16	13	shared
pʷ	11	0	human only
r	7	32	shared
s	34	12	shared
ss	0	9	SP only
t	60	32	shared
ts	1	7	shared
tʃ	0	9	SP only
u	28	22	shared
uː	3	0	human only
v	27	11	shared
w	0	2	SP only
z	0	11	SP only
æ	5	0	human only
ŋ	12	1	shared
ɔ	55	20	shared
ɔː	8	0	human only
ɛ	152	13	shared
ɛː	14	1	shared
ɡ	0	4	SP only
ɪ	0	1	SP only
ɲ	0	18	SP only
ɸ	6	0	human only
ʃ	0	7	SP only
ʊ	0	5	SP only
ʎ	0	7	SP only
